EditionId	ASIN	ISBN	Title	Author	Edition Author	Binding	PublicationYear	Rating	Tags	Note	Condition	DatePurchased	PurchasePrice	DateRead	Signed	Loaned	LoanedTo	LoanedDate	LoanDueDate	DateAdded	Private	Favorites list	I plan to read list	Wish list	I've read list	I own list	I'm reading list	Review
72198550	"B0080YHBR8"	""	Quality Python Development 		Frédéric Lepied	Kindle Edition	2012	3						3/20/2013						3/20/2013		False	False	False	True	False	False	
74016628	"1607066017"	"1607066017"	Saga Volume 1 TP	Staples, Fiona; Brian K Vaughan	Brian K. Vaughan	Paperback	2012	5						5/17/2013						5/12/2013		False	False	False	True	False	False	
74407727	"B008IGIKY6"	""	PostgreSQL: Up and Running, Ed: 1 		Regina O. Obe, Leo S. Hsu	Kindle Edition	2012													9/18/2013		False	True	False	False	False	False	
75489725	"1938073207"	"1938073207"	McSweeney's Issue 43 (Mcsweeney's Quarterly Concern)			Paperback	2013	5						5/22/2013						5/21/2013		False	False	False	True	False	False	
75565465	"1118443616"	"1118443616"	Venture Deals: Be Smarter Than Your Lawyer and Venture Capitalist		Brad Feld, Jason Mendelson	Hardcover	2012	4						10/19/2013						9/28/2013		False	False	False	True	False	False	
78063177	"1938073460"	"1938073460"	Lucky Peach, Issue 6			Paperback	2013	4						4/12/2013						4/16/2013		False	False	False	True	False	False	
78072355	"0307947513"	"0307947513"	A Hologram for the King	Eggers, Dave	Dave Eggers	Paperback	2013	5						10/14/2013						10/15/2013		False	False	False	True	False	False	
78074469	"1607066920"	"1607066920"	Saga Volume 2 TP	Vaughan, Brian K.; Fiona Staples	Brian K. Vaughan, Fiona Staples	Paperback	2013	5						7/1/2013						5/12/2013		False	False	False	True	False	False	
79775936	"1938073479"	"1938073479"	Lucky Peach, Issue 7			Paperback	2013	5						6/22/2013						8/26/2013		False	False	False	True	False	False	
79978272	"1401238939"	"1401238939"	Before Watchmen: Comedian/Rorschach	Azzarello, Brian; J. G. Jones; Lee Bermejo	Brian Azzarello	Hardcover	2013	4						12/26/2013						12/26/2013		False	False	False	True	False	False	
80449163	"1449344852"	"1449344852"	AngularJS 		Brad Green, Shyam Seshadri	Paperback	2013	4						10/7/2013						9/18/2013		False	False	False	True	False	False	
86546460	"0804137501"	"0804137501"	Remote	Fried, Jason	Jason Fried, David Heinemeier Hansson	Hardcover	2013	3						3/8/2014						3/8/2014		False	False	False	True	False	False	
87019692	"B009CUUQ4Y"	""	Dive Into Python 3 [ DIVE INTO PYTHON 3 BY Pilgrim, Mark ( Author ) Oct-01-2009		Mark Pilgrim	Paperback	2009	4						3/12/2013						3/12/2013		False	False	False	True	False	False	
87070430	"1449360726"	"1449360726"	Functional JavaScript: Introducing Functional Programming with Underscore.js?		Michael Fogus	Paperback	2013	5												9/29/2013		False	True	False	False	False	False	
87076428	"1617291412"	"1617291412"	The Joy of Clojure	Fogus, Michael; Chris Houser	Michael Fogus, Chris Houser	Paperback	2014	5						5/4/2014						11/24/2013		False	False	False	True	False	False	
87084819	"1938073746"	"1938073746"	There Is a Country: New Fiction from the New Nation of South Sudan			Paperback	2013	3						5/23/2013						5/23/2013		False	False	False	True	False	False	
87120725	"1938073614"	"1938073614"	Lucky Peach, Issue 8			Paperback	2013	5						10/22/2013						6/21/2013		False	False	False	True	False	False	
87135794	"1118660633"	"1118660633"	The Year Without Pants: WordPress.com and the Future of Work		Scott Berkun	Hardcover	2013	4						3/12/2014						3/13/2014		False	False	False	True	False	False	
